sphere,code,method,equalMethods,samplingType,so_short_name,so,soBundles,protocol,measurementInterval,measurementIntervalUnit,measurementsPerYear,sensorType,minimumSamplePerSite,maximumSamplePerSite,purchasePrice,purchasePriceUnit,installationEffort,installationEffortUnit,upgradeInterval,upgradeIntervalUnit,maintenancePrice,maintenancePriceUnit,maintenanceEffort,maintenanceEffortUnit,samplingPrice,samplingPriceUnit,samplingEffort,samplingEffortUnit,samplingPersonnel,labAnalysisPrice,labAnalysisPriceUnit,processingRawDataEffort,processingRawDataEffortUnit,processingRawDataPersonnel,operationEffortCode,totalHumanLabor,methodsNotes,installationNotes,operationNotes
Hydrosphere,SOHYD_004,prime,FALSE,sensor,standing water physical and chemical characteristics (SOHYD_004),Profiles of physical and chemical waters characteristics - surface water (standing),"lakes, lagoons, reservoirs - water temperature, pH, EC, turbidity, oxygen, water depth",TERENO + FINMARI,2,hour,4383,"Probe comparable or better (signal-noise ration) than YSI 600 R, YSI 600 OMS, YSI 6820 V2 (Yellow Springs Instruments, USA)",1,1,75000,euro,1,day,10,year,5000,euro,6,day/year,0,euro,0,day/year,,0,euro,5,day/year,,2,12,measurementInterval: 2 hour (see remark regarding deeper lakes),"purchasePrice: 25,000 multiparamet er probe + 50,000 profiler setup",
Hydrosphere,SOHYD_005,basic,FALSE,sample | sensor,physical and chemical water (SOHYD_005),Physical and chemical water characteristics - surface water (running waters),"water temperature, pH, EC, turbidity, oxygen, NO3, SAC 254, water level",ICP Waters,1,month,12,"manual measurement: sampling and lab analyses + CTD; O2, EC can be measured on site by using dedicated sensors but can be measured in the laboratory too.",1,1,500,euro,0,day,10,year,0,euro,0,day/year,0,euro,0.5,day/year,,120,euro,0.5,day/year,,0,1,,,
Hydrosphere,SOHYD_005,prime,FALSE,sensor,physical and chemical water (SOHYD_005),Physical and chemical water characteristics - surface water (running waters),"water temperature, pH, EC, turbidity, oxygen, NO3, SAC 254, water level",TERENO + FINMARI (ICP Water needs to be checked),15,minute,35064,"Comparable or equal to combination of Multiparameter probe: YSI 600 R, YSI 600 OMS, YSI 6820 V2 (Yellow Springs Instruments, USA)+ Optical sensor (light extinction at specific wave length in the UV range): TRIOS ProPS-UV, TRIOS OPUS (TriOS Mess- und Datentechnik; measurement of elevation and water depths at two points, submersible vented pressure tranducers",1,1,30000,euro,0.5,day,10,year,1500,euro,6,day/year,0,euro,0,day/year,,0,euro,5,day/year,,1,11.5,,,
Hydrosphere,SOHYD_006,basic,FALSE,sensor,physical and chemical water (SOHYD_006),Physical and chemical water characteristics - groundwater,"water temperature, hydraulic head, oxygen, electrical conductivity",TERENO,1,month,12,CTD-probe (handheld),1,1,4000,euro,0.5,day,10,year,0,euro,0,day/year,0,euro,0.5,day/year,,0,euro,0.5,day/year,,0,1.5,,"purchasePrice: 500 for the sensor, 2.000 - 5.000/well depending on site conditions. upgradeInterval: 10 for the sensor",
Hydrosphere,SOHYD_006,prime,FALSE,sensor,physical and chemical water (SOHYD_006),Physical and chemical water characteristics - groundwater,"water temperature, hydraulic head, oxygen, electrical conductivity",protocol needs to describe automated measurement. Suggestion to follow ICOS (Instructions for Water Table Depth Measurements and Op de Beeck et al.'protocol soil-meteorological variables),1,hour,8766,"multiparameter probe (water level, temperature, EC), oxygen sensor",5,5,27500,euro,2.5,day,10,year,200,euro,2,day/year,0,euro,0,day/year,,0,euro,5,day/year,,2,9.5,,purchasePrice: 5.500/well,processingRawDataEffort: 10 days; Depends on what the end product needs to be (see WATINA - in Dutch): real time data transfer? Semi-real time?
Hydrosphere,SOHYD_010,basic,FALSE,retrieval,water level in running waters (SOHYD_010),water level - surface water (running water),water level (in order to derive river/stream discharge),ICP Waters,1,month,12,"monthly values are available from SOHYD_005. For higher frequency: application of hydrological model (central service, to be discussed) resp. provision of data from national monitoring programs (nearby stations);",,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Hydrosphere,SOHYD_010,prime,FALSE,sensor,water level in running waters (SOHYD_010),water level - surface water (running water),water level (in order to derive river/stream discharge),WMO: https://library.wmo.int/doc_num.php?explnum_id=10473,15,minute,35064,automated water level measurement using CTD or comparable,1,1,1000,euro,0.5,day,5,year,200,euro,2,day/year,0,euro,0,day/year,,0,euro,2,day/year,,1,4.5,,"purchasePrice: 1000, + costs for ADCP calibration (stage-discharge relationship), suggestion to provide ADCP via central service",
Hydrosphere,SOHYD_011,basic,FALSE,retrieval,ice cover/thickness (SOHYD_011),Ice cover/thickness (standing and transitional water),Ice cover/thickness standing and transitional water,"Copernicus product (central service), visual inspection alternatively",1,week,52.17857142857143,Sentinel-2 (Satellite); Sentinel-2 (Satellite).,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Hydrosphere,SOHYD_011,prime,FALSE,sample,ice cover/thickness (SOHYD_011),Ice cover/thickness (standing and transitional water),Ice cover/thickness standing and transitional water,"SITES (inland waters), UHEL (thickness) will contribute protocol of Finnish Environmental Institute",1,day,365.25,measurement of thickness (drilling) + automated cameras (coverage),1,1,100,euro,0.2,day,2,year,100,euro,0.2,day/year,0,euro,1,day/year,,0,euro,0,day/year,,2,1.4,"measurementInterval: coverage - 1 day, thickness - 10 days",purchasePrice: camera - 100 Euro,samplingPrice: 1000 (transitional waters)
Hydrosphere,SOHYD_012,basic,FALSE,retrieval,snow cover and depths (SOHYD_012),Snow cover and depths,"Snow cover, depth",Copernicus product,1,week,52.17857142857143,Sentinel-2 (Satellite); Sentinel-2 (Satellite).,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Hydrosphere,SOHYD_012,prime,FALSE,sensor,snow cover and depths (SOHYD_012),Snow cover and depths,"Snow cover, depth",WMO: https://library.wmo.int/doc_num.php?explnum_id=9870,1,hour,8766,Snow cams + snow stakes,1,1,100,euro,0.2,day,2,year,100,euro,0.2,day/year,0,euro,0.2,day/year,,0,euro,0,day/year,,1,0.6000000000000001,,purchasePrice: camera - 100 Euro,
Hydrosphere,SOHYD_058,prime,FALSE,sample,running and standing waters stable isotopes (SOHYD_058),"Stable isotopes (18O, 2H) - standing, running waters","Stable isotopes (18O, 2H) - standing, running waters",IAEA,2,week,26.08928571428572,"Manual sampling, sending sample to the central lab",1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,3,day/year,,,euro,0,day/year,,2,3,,,samplingPrice: 100 (vials + filters). labAnalysisPrice: Central eLTER lab
Hydrosphere,SOHYD_059,prime,FALSE,sample,groundwater stable isotopes (SOHYD_059),"Stable Isotopes (18O, 2H) - groundwater","Stable Isotopes (18O, 2H) - groundwater",IAEA,2,week,26.08928571428572,"Manual sampling, sending sample to the central lab",5,5,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,3,day/year,,,euro,0,day/year,,2,3,,,samplingPrice: 100 (vials + filters). labAnalysisPrice: Central eLTER lab
Hydrosphere,SOHYD_062,basic,FALSE,sample,major ion concentrations (SOHYD_062),"Major ion concentrations: Cl, SO4, Br, Na, K, Mg, Ca, B - groundwater","Major ion concentrations: Cl, SO4, Br, Na, K, Mg, Ca, B - groundwater",,1,month,12,Ion chromatography / ICP-OES; Laboratory analysis,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,0.3,day/year,,45,euro,0,day/year,,1,0.3,,,samplingPrice: can be combined with SOHYD_057
Hydrosphere,SOHYD_062,prime,FALSE,sample,major ion concentrations (SOHYD_062),"Major ion concentrations: Cl, SO4, Br, Na, K, Mg, Ca, B - groundwater","Major ion concentrations: Cl, SO4, Br, Na, K, Mg, Ca, B - groundwater",INBO (Belgium) has its local protocol (in Dutch); samples should be taken in the pressure gauges (see SOHYD_006),2,week,26.08928571428572,sampling and lab analysis,5,5,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,3,day/year,,45,euro,0,day/year,,2,3,,,samplingPrice: 100 (vials + filters)
Hydrosphere,SOHYD_064,basic,FALSE,sample,groundwater nutrient concentration (SOHYD_064),"Nutrient concentration: TP, SRP, TDN, NO3, NO2, NH4, DOC, DIC - groundwater","Nutrient concentration: TP, SRP, TDN, NO3, NO2, NH4, DOC, DIC - groundwater",,1,month,12,"Laboratory analysis; wet chemistry, TOCmeter, ion chromatography",1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,0.3,day/year,,30,euro,0,day/year,,1,0.3,,,samplingPrice: can be combined with SOHYD_057
Hydrosphere,SOHYD_064,prime,FALSE,sample,groundwater nutrient concentration (SOHYD_064),"Nutrient concentration: TP, SRP, TDN, NO3, NO2, NH4, DOC, DIC - groundwater","Nutrient concentration: TP, SRP, TDN, NO3, NO2, NH4, DOC, DIC - groundwater",INBO (Belgium) has its local protocol (in Dutch); samples should be taken in the pressure gauges (see SOHYD_006),2,week,26.08928571428572,sampling and lab analysis,5,5,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,3,day/year,,31,euro,0,day/year,,2,3,,,samplingPrice: 100 (vials + filters)
Hydrosphere,SOHYD_065,prime,FALSE,sample,groundwater DOM composition (SOHYD_065),DOM composition - groundwater,DOM composition - groundwater,CNRS,2,week,26.08928571428572,UV-vis spectroscopy,5,5,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,3,day/year,,10,euro,0,day/year,,2,3,,,samplingPrice: 100 (vials + filters)
Hydrosphere,SOHYD_067,prime,FALSE,sample,micropollutants in running waters (SOHYD_067),Micropollutants: non-target screening [~1000 substances] - running waters,Micropollutants: non-target screening [~1000 substances] - running waters,NORMAN,2,month,6,GC/HPLC/MS-MS,1,1,0,euro,0,day,0,year,1000,euro,0,day/year,0,euro,1,day/year,,,euro,0,day/year,,2,1,,,samplingPrice: 1.000 Euro for sending the frozen sample from 1 year to the central lab. labAnalysisPrice: central lab
Hydrosphere,SOHYD_164,basic,,,glacier front variation (SOHYD_164),glacier front variation,glacier front variation,,,,,,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,1,0,,,
Hydrosphere,SOHYD_164,prime,,,glacier front variation (SOHYD_164),glacier front variation,glacier front variation,,,,,,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,1,0,"measurementInterval: This SO is only relevant for sites with a glacier in the study area. The decision on the method and protocol is not yet finalised. However, these are standard methods used to study glaciers and are based on remote sensing.",,
Hydrosphere,SOHYD_165,basic,,,glacier mass balance (SOHYD_165),glacier mass balance,glacier mass balance,,,,,,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,1,0,,,
Hydrosphere,SOHYD_165,prime,,,glacier mass balance (SOHYD_165),glacier mass balance,glacier mass balance,,,,,,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,1,0,"measurementInterval: This SO is only relevant for sites with a glacier in the study area. The decision on the method and protocol is not yet finalised. However, these are standard methods used to study glaciers and are based on remote sensing.",,
Hydrosphere,SOHYD_166,basic,,,glacier area (SOHYD_166),glacier area,glacier area,,,,,,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,1,0,,,
Hydrosphere,SOHYD_166,prime,,,glacier area (SOHYD_166),glacier area,glacier area,,,,,,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,1,0,"measurementInterval: This SO is only relevant for sites with a glacier in the study area. The decision on the method and protocol is not yet finalised. However, these are standard methods used to study glaciers and are based on remote sensing.",,
Hydrosphere,SOHYD_168,basic,FALSE,sensor,"soil water content, soil temperature (SOHYD_168)",Soil water content/soil temperature,"Soil water content, soil temperature",ICP FORESTS; ICP FORESTS or relaxed ICOS,1,hour,8766,"1 soil moisture profiles e.g. in co-location with weather station (10, 20, 50, 100, XXX cm) using Time Domain Reflectometers (TDR); hourly average",1,1,2500,euro,1,day,5,year,300,euro,0.25,day/year,0,euro,0,day/year,,,euro,0.5,day/year,,1,1.75,,,
Hydrosphere,SOHYD_168,prime,FALSE,sensor,"soil water content, soil temperature (SOHYD_168)",Soil water content/soil temperature,"Soil water content, soil temperature",COSMOS Europe; ICOS (Instructions for soil moisture measurements),1,minute,525960,"Cosmic-ray neutron probes: comparable or better than CRS1000, CRS2000/B (from Hydroinnova, Boron probes from Styx Neutronica; Time-Domain Reflectometer = TDR (e.g. Campbell Scientific Europe CS650) Addition of 4 soil moisture profiles within the CRNS footprint (10, 20, 50, 100, XXX cm) using Time Domain Reflectometers (TDR)",1,1,22000,euro,2,day,0,year,2000,euro,1.5,day/year,0,euro,0,day/year,,0,euro,2,day/year,,1,5.5,,"purchasePrice: 15,000 CRNS, 7,000 Euro TDR",labAnalysisPrice: 500 (calibration CRNS)
Hydrosphere,SOHYD_169,basic,FALSE,sample,nutrient concentration in running waters (SOHYD_169),"Nutrient concentration: NO2, NH4, DOC, DIC - running waters","NO2, NH4, DOC, DIC",WFD; ICP Water,1,month,12,Laboratory analysis;,,,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,0.25,day/year,,45,euro,0,day/year,,1,0.25,,,samplingPrice: Sampling for all surface water sample-based Sos can be combined.
Hydrosphere,SOHYD_169,prime,FALSE,sample,nutrient concentration in running waters (SOHYD_169),"Nutrient concentration: NO2, NH4, DOC, DIC - running waters","NO2, NH4, DOC, DIC",,2,week,26.08928571428572,sampling and lab analysis,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,0.5,day/year,,45,euro,0,day/year,,2,0.5,,,samplingPrice: 100 (vials + filters)
Hydrosphere,SOHYD_170,basic,FALSE,sample,nutrient concentration in standing waters (SOHYD_170),"Profiles of nutrient concentration: NO2, NH4, DOC, DIC - standing waters","NO2, NH4, DOC, DIC",WFD; ICP Water,1,month,12,Laboratory analysis;,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,0.25,day/year,,135,euro,0,day/year,,1,0.25,,,samplingPrice: Sampling for all surface water sample-based Sos can be combined.
Hydrosphere,SOHYD_170,prime,FALSE,sample,nutrient concentration in standing waters (SOHYD_170),"Profiles of nutrient concentration: NO2, NH4, DOC, DIC - standing waters","NO2, NH4, DOC, DIC",,2,week,26.08928571428572,sampling and lab analysis,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,0.5,day/year,,135,euro,0,day/year,,2,0.5,,,
Hydrosphere,SOHYD_171,basic,FALSE,sample,major ion concentrations (SOHYD_171),"Major ion concentrations: Cl, SO4, Br, Na, K, Mg, Ca, B, Silica - running/standing waters","Major ion concentrations: Cl, SO4, Br, Na, K, Mg, Ca, B, silica",WFD; ICP Water,1,month,12,Ion chromatography / ICP-OES; Laboratory analysis,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,0.25,day/year,,45,euro,0,day/year,,2,0.25,,,samplingPrice: Sampling for all surface water sample-based Sos can be combined.
Hydrosphere,SOHYD_171,prime,FALSE,sample,major ion concentrations (SOHYD_171),"Major ion concentrations: Cl, SO4, Br, Na, K, Mg, Ca, B, Silica - running/standing waters","Major ion concentrations: Cl, SO4, Br, Na, K, Mg, Ca, B, silica",INBO (Belgium) has its local protocol (in Dutch); samples should be taken in the pressure gauges (see SOHYD_006),2,week,26.08928571428572,sampling and lab analysis,5,5,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,0.5,day/year,,45,euro,0,day/year,,2,0.5,,,samplingPrice: 100 (vials + filters)
Hydrosphere,SOHYD_174,basic,TRUE,sample,secchi depth (SOHYD_174),Secchi-Depth; standing waters and transitional waters,Secchi-Depth; standing waters and transitional waters,WFD,1,month,12,Only during vegetation period,1,,0,euro,0,day,0,year,0,euro,0,day/year,,euro,0,day/year,,0,euro,0,day/year,,0,0,,,samplingPrice: Sampling for all surface water sample-based Sos can be combined.
Hydrosphere,SOHYD_174,prime,TRUE,sample,secchi depth (SOHYD_174),Secchi-Depth; standing waters and transitional waters,Secchi-Depth; standing waters and transitional waters,WFD,2,week,26.08928571428572,Sampling,1,,0,euro,0,day,0,year,0,euro,0,day/year,,euro,1.5,day/year,,0,euro,0,day/year,,1,1.5,,,samplingPrice: Measurement can be combined with other sampling Sos
Sociosphere,SOSOC_029,basic,FALSE,retrieval,area under tillage (SOSOC_029),Area under tillage,Area under tillage,eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_029,prime,FALSE,retrieval,area under tillage (SOSOC_029),Area under tillage,Area under tillage,eLTER,,year,1,site specific survey,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_030,basic,FALSE,retrieval,land-based income (SOSOC_030),Land-based income,Land-based income,eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_030,prime,FALSE,retrieval,land-based income (SOSOC_030),Land-based income,Land-based income,eLTER,,year,1,site specific survey,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_031,basic,FALSE,retrieval,yield (SOSOC_031),"Yield (cropland, grassland, forest, fishery)","Yield (cropland, grassland, forest, fishery) (t/ha and year)",eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_031,prime,FALSE,retrieval,yield (SOSOC_031),"Yield (cropland, grassland, forest, fishery)","Yield (cropland, grassland, forest, fishery) (t/ha and year)",eLTER,,year,1,site specific survey,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_032,basic,FALSE,retrieval,governance structure and character (SOSOC_032),Governance structure and character,Governance structure and character,eLTER,2,year,0.5,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_032,prime,FALSE,retrieval,governance structure and character (SOSOC_032),Governance structure and character,Governance structure and character,"eLTER, trained staff",5,year,0.2,site specific survey,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,1.4,day/year,,0,9.4,,,
Sociosphere,SOSOC_036,basic,TRUE,retrieval,CORINE land cover and use (SOSOC_036),"Land cover, land use, land cover change, land use change (CORINE)","Land cover, land use, land cover change, land use change (CORINE)",eLTER,6,year,0.1666666666666667,CORINE data,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_036,prime,TRUE,retrieval,CORINE land cover and use (SOSOC_036),"Land cover, land use, land cover change, land use change (CORINE)","Land cover, land use, land cover change, land use change (CORINE)",eLTER,6,year,0.1666666666666667,CORINE data,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0.5,day/year,,0,euro,1,day/year,,0,1.5,,,
Sociosphere,SOSOC_037,basic,FALSE,retrieval,Statistics land cover and use (SOSOC_037),"Land cover, land use, land cover change, land use change (Statistics)","Land cover, land use, land cover change, land use change (Statistics)",eLTER,3,year,0.3333333333333333,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_037,prime,FALSE,retrieval,Statistics land cover and use (SOSOC_037),"Land cover, land use, land cover change, land use change (Statistics)","Land cover, land use, land cover change, land use change (Statistics)",eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_040,basic,FALSE,retrieval,ecosystem services profile (SOSOC_040),Ecosystem services profile,Bundle of variables describing the ecosystem service profile,eLTER,3,year,0.3333333333333333,quantitative,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_040,prime,FALSE,retrieval,ecosystem services profile (SOSOC_040),Ecosystem services profile,Bundle of variables describing the ecosystem service profile,eLTER,3,year,0.3333333333333333,quantitative,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,2,day/year,,0,euro,1.5,day/year,,0,3.5,,,samplingEffort: 5.0 (only first time); then afterwards 2.0. processingRawDataEffort: 3.0 (only first time); then afterwards 1.5.
Sociosphere,SOSOC_042,basic,FALSE,retrieval,economics gdp per capita (SOSOC_042),Economics (GDP per capita; Per capita income),Economics (GDP per capita; Per capita income),eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_042,prime,FALSE,retrieval,economics gdp per capita (SOSOC_042),Economics (GDP per capita; Per capita income),Economics (GDP per capita; Per capita income),eLTER,,year,1,national statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_043,basic,FALSE,retrieval,demography (SOSOC_043),Demography,Demography (Total population size and density; Population age profile; educational attainment; residential density),eLTER,5,year,0.2,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_043,prime,FALSE,retrieval,demography (SOSOC_043),Demography,Demography (Total population size and density; Population age profile; educational attainment; residential density),eLTER,1,year,1,national census data,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_044,basic,FALSE,retrieval,status of employment (SOSOC_044),Status of employment,Employment (Employment rate %; Employment by sector; Unemployment),eLTER,5,year,0.2,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_044,prime,FALSE,retrieval,status of employment (SOSOC_044),Status of employment,Employment (Employment rate %; Employment by sector; Unemployment),eLTER,1,year,1,national census data,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_045,basic,FALSE,retrieval,population consumption statistics (SOSOC_045),Population consumption statistics,Population consumption statistics,eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_045,prime,FALSE,retrieval,population consumption statistics (SOSOC_045),Population consumption statistics,Population consumption statistics,eLTER,1,year,1,national census data,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_114,basic,FALSE,retrieval,livestock (SOSOC_114),Livestock,Livestock numbers; only Prime: feed management,eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_114,prime,FALSE,retrieval,livestock (SOSOC_114),Livestock,Livestock numbers; only Prime: feed management,eLTER,,seasonal,4,site specific survey,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_183,basic,TRUE,retrieval,resource use (SOSOC_183),Resource use,"Resource use (biomass, construction, iron/steel, fossil fuels), trade of resources",eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_183,prime,TRUE,retrieval,resource use (SOSOC_183),Resource use,"Resource use (biomass, construction, iron/steel, fossil fuels), trade of resources",eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,1,day/year,,0,1,,,
Sociosphere,SOSOC_184,basic,FALSE,retrieval,subsidies programs (SOSOC_184),Subsidies programs / schemes,Subsidies programs / schemes,eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_184,prime,FALSE,retrieval,subsidies programs (SOSOC_184),Subsidies programs / schemes,Subsidies programs / schemes,eLTER,1,year,1,site specific survey,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
Sociosphere,SOSOC_185,basic,FALSE,retrieval,cropland agricultural products (SOSOC_185),Agricultural products (cropland),Agricultural products,eLTER,1,year,1,official statistics,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Sociosphere,SOSOC_185,prime,FALSE,retrieval,cropland agricultural products (SOSOC_185),Agricultural products (cropland),Agricultural products,eLTER,,year,1,site specific survey,,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,8,day/year,,0,euro,7,day/year,,0,15,,,
